,condition,chat_id,user_id,target_behaviour,readiness_to_change_start,utterance_id,turn_id,datetime,user_utterance,valence,valence_score,label,label_score,sublabel,sublabel_score,bot_action,bot_datetime,bot_utterance,user_rating,user_rating_explanation,user_word_count,harmful,Harmful Types,Advice Subtype,Giving Facts Subtype,Request for Advise/Information
1048,framework,1,6107ab75c50cfb94fb523279,weniger prokrastinieren,8,1,1,2023-08-07 15:42:33.034771,start,,0.0,,0.0,,0.0,,2023-08-07 15:42:35.406764,"Hallo! Ich bin MIcha, dein Motivations-Chatbot. 
                            Mein Ziel ist es, dir dabei zu helfen, dein Verhalten zu reflektieren und dich dabei zu unterstützen dir einen Plan für deine Verhaltensänderung zu erarbeiten. 
                            Bitte denke über meine Fragen genau nach und sieh sie vorwiegend als Gedankenanstöße, die dich mental näher an dein Ziel bringen. 
                            Ich bin nicht dafür da, dir Tipps oder Handlungsempfehlungen zu geben, sondern dafür, dir über deine Beweggründe und Werte klar zu werden. 
                                
                            Über welche Verhaltensänderung möchtest du heute sprechen?",,,1,,,,,
1049,framework,1,6107ab75c50cfb94fb523279,weniger prokrastinieren,8,2,2,2023-08-07 15:43:07.304097,Ich möchte weniger prokrastinieren,,0.0,,0.0,,0.0,,2023-08-07 15:43:09.81535,"Du möchtest also weniger prokrastinieren. Kannst du mir etwas darüber erzählen, warum dir diese Veränderung wichtig ist?",,,4,,,,,
1051,framework,1,6107ab75c50cfb94fb523279,weniger prokrastinieren,8,4,4,2023-08-07 15:44:04.602837,Ich könnte schon viel weiter im Leben sein.,,0.0,,0.0,,0.0,,2023-08-07 15:44:09.308969,"Auf einer Skala von 0 (überhaupt nicht) bis 10 (sehr), wie interessiert bist du jetzt gerade daran, diese Veränderung durchzuführen?",,,1,,,,,
1052,framework,1,6107ab75c50cfb94fb523279,weniger prokrastinieren,8,5,5,2023-08-07 15:44:20.584669,8,,0.0,,0.0,,0.0,,2023-08-07 15:44:22.691588,Eine 8. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,1,,,,,
1053,framework,1,6107ab75c50cfb94fb523279,weniger prokrastinieren,8,6,6,2023-08-07 15:44:58.752073,Weil ich jetzt etwas ändern musst. Das habe ich mir aber schon oft gesagt. Deshalb nur acht.,change,0.9977747797966,Reason,0.992911517620087,need,0.982292056083679,Digging Deep,2023-08-07 15:45:08.503392,"Das klingt so, als ob du schon oft den Impuls verspürt hättest, etwas zu verändern, es dann aber doch nicht getan hast. Was hindert dich daran, die gewünschte Veränderung in die Tat umzusetzen",gut/hilfreich,"Es trifft genau das zu, was ich erläutert habe.",17,,,,,
1054,framework,1,6107ab75c50cfb94fb523279,weniger prokrastinieren,8,9,7,2023-08-07 15:46:12.641909,Alltag. Faulheit.,sustain,0.806454956531525,Reason,0.99800831079483,General Reason,0.996693968772888,Undershooting,2023-08-07 15:46:20.580675,"Es scheint, als ob der Alltag und die Faulheit Hindernisse für dich darstellen. Wie könnte es sein, wenn du diese Hindernisse überwindest",gut/hilfreich,Bringt mich dazu mir Gedanken zu machen.,2,,,,,
1055,framework,1,6107ab75c50cfb94fb523279,weniger prokrastinieren,8,12,8,2023-08-07 15:47:41.744613,Das wäre sehr schön und eine Verbesserung meiner Lebendqualität.,change,0.999147415161133,Reason,0.998920440673828,General Reason,0.995686411857605,Elaboration,2023-08-07 15:47:53.840951,"Es klingt, als ob du dir eine höhere Lebensqualität wünscht und glaubst, dass weniger Prokrastination dazu beitragen könnte. Gibt es noch andere Aspekte, die du verbessern möchtest, wenn du weniger prokrastinierst",gut/hilfreich,Passt einfach.,9,,,,,
1056,framework,1,6107ab75c50cfb94fb523279,weniger prokrastinieren,8,14,9,2023-08-07 15:48:48.537077,Mehr Zeit mit Freunden und Familie verbringen.,change,0.998698949813843,Commitment,0.996966063976288,,,Elaboration,2023-08-07 15:48:56.976131,"Du würdest also gerne mehr Zeit mit deinen Liebsten verbringen, wenn du weniger prokrastinieren würdest. Wie sehr glaubst du, dass diese Veränderung dazu beitragen würde, mehr Zeit mit Freunden und Familie zu verbringen",gut/hilfreich,Passt ,7,,,,,
1057,framework,1,6107ab75c50cfb94fb523279,weniger prokrastinieren,8,20,10,2023-08-07 15:50:32.403839,"Glaube sehr stark, da ich viel Zeit mit Daddelei verbringe.",change,0.996457040309906,Reason,0.790479421615601,General Reason,0.877649784088135,Summary,2023-08-07 15:50:48.960956,"Lass mich unser bisheriges Gespräch zusammenfassen. Du glaubst also stark daran, dass weniger Prokrastination dir mehr Zeit mit deinen Freunden und deiner Familie ermöglichen würde, da du momentan viel Zeit mit ""Daddelei"" verbringst. Du fühlst dich bereit für eine Veränderung und hast das Gefühl, dass du jetzt etwas ändern musst, obwohl du dir das schon oft gesagt hast. Du gibst zu, dass Alltag und Faulheit Hindernisse für dich darstellen, aber du siehst auch das Potential für eine verbesserte Lebensqualität und mehr Zeit mit den Menschen, die dir wichtig sind. Habe ich noch etwas vergessen?",gut/hilfreich,Gut zusammengefasst,10,,,,,
1058,framework,1,6107ab75c50cfb94fb523279,weniger prokrastinieren,8,27,11,2023-08-07 15:52:05.301683,Nein.,change,0.959204614162445,Reason,0.99208128452301,ability,0.381405562162399,Next Steps,2023-08-07 15:52:07.455121,Verstanden! Bitte verrate mir abschließend nochmal was dein nächster Schritt konkret sein wird.,schlecht/unpassend,Ich dachte das sagt mir der Chatbot.,1,,,,,
